constituency,reform_vote_share,is_scotland,leave_vote_share,degree_pct,median_age,median_weekly_wage,claimant_rate,foreign_born_pct,population_density,ethnic_minority_pct,deprivation_score
Peterborough,12.846293465800535,0,61.92949032,23.32601809280756,36.0,692.1,7.000000000000001,32.051898699999995,769.409497849698,30.389450100000005,31.62351900352594
Plymouth Moor View,22.563935038267687,0,65.46023138,22.79325612658946,41.0,662.1,3.3000000000000003,6.3234821,2893.235539311432,4.062154600000001,28.965780980898504
Plymouth Sutton and Devonport,17.738448746882053,0,53.454459590000006,30.94184715618947,35.0,670.5,4.3,14.4500572,5204.025297744285,9.823573900000005,31.82122148818748
"Pontefract, Castleford and Knottingley",29.08752120588481,0,71.32699106,21.552461219005743,39.0,711.5,3.4000000000000004,5.8483524,1431.162257385172,3.523148099999996,30.59200887735728
Pontypridd,19.866422875717404,0,50.55742013,29.247887255732863,40.0,701.2,2.7,4.900346,739.5495918055984,4.242963600000005,23.34550983066508
Poole,16.696258006517585,0,57.00909362,32.28348407880065,44.0,763.8,3.3000000000000003,12.1251946,2481.804338365828,6.459943099999999,16.13027028925988
Poplar and Limehouse,7.904578290864324,0,32.082883880000004,53.95754178069453,30.0,1102.2,6.2,50.0761009,13645.45704244378,59.8743616000001,24.518292938271607
Portsmouth North,20.438535330464266,0,63.83346452999999,26.564934983979757,38.0,705.9,4.1000000000000005,11.6403149,2398.2447015566404,9.707107599999995,25.00160655012616
Portsmouth South,14.647554459515002,0,51.38667667,32.97869992274583,33.0,693.2,5.4,21.8688713,6522.414098091007,19.473395400000005,29.232991769618632
Preston,14.34751081439252,0,55.84346827,28.789712556732223,33.0,679.2,5.4,21.6283834,3036.38705269619,29.8781029,33.299729977729775
Putney,6.227812151333807,0,26.78873156,60.890001088020895,34.0,998.9,4.6,39.80906,8038.749589977526,31.0635582,15.891945947379588
Queen's Park and Maida Vale,5.492527971207261,0,35.39652697,47.83322582536797,35.0,838.0,7.399999999999999,48.6475926,16359.88300236296,52.809209200000005,29.54262903396093
Rawmarsh and Conisbrough,28.62199150542709,0,70.49291669,21.269397565181045,41.0,653.6,3.8,4.1145019000000005,959.8061408035448,3.2421294000000045,31.358027563700727
Rayleigh and Wickford,25.29284255283672,0,68.48799456,22.89757801993389,44.0,857.4,2.0,4.6651093,1452.3077870529514,4.959530600000095,9.672697174447174
Reading Central,8.619814091099776,0,36.05420518,45.185945221542845,34.0,796.6,4.3,37.2249843,4762.661870278967,34.1800625,17.495363635523947
Reading West and Mid Berkshire,13.447616592554402,0,49.39008164,36.032823847101696,42.0,901.3,3.0,14.675115,309.4764882146596,14.267307799999996,12.836250613422637
Redcar,18.885602868434137,0,66.80135603000001,24.205369390554576,44.0,705.1,4.2,3.2423652999999995,1161.991116914652,2.6938443000000034,31.92793997572195
Redditch,20.096755162241887,0,61.13940542,27.14813059636346,42.0,713.1,3.8,10.5790639,531.0185405324573,9.338324499999995,21.739454106280192
Reigate,13.61900641447678,0,47.82155604,42.41484640654718,42.0,902.2,1.9,16.6923558,1297.543202100529,15.959416400000004,10.363240473906115
Rhondda and Ogmore,26.05149974864548,0,61.02970957,21.884692238853543,41.0,642.9,3.7,2.6067533,506.4452612841503,2.3414245,32.48412240210007
Ribble Valley,16.385060454029947,0,55.330862020000005,37.45175160013681,44.0,805.1,1.9,6.683296899999999,167.31700846413918,8.945864299999995,12.434866219886286
Richmond and Northallerton,14.717883196636857,0,54.05923661999999,35.016073493348244,50.0,715.1,2.1,6.750348600000001,49.78257523499549,3.9613236,12.27899081196152
